groundTruth,predicted
"
12/11/2012, ","
12/11/2012, "
"
06/02/2014, 4500211314, 1.0, Petroleum and distillates, ","
05/27/2014, 4500211314, 1.0, Petroleum and distillates, "
"
Accommodation furniture, ","
Accommodation furniture, "
"
Compressor motor AC, 26101100.0, ","
Compressor motor AC, 26101100.0, "
"
Letter Folding Machine, $509.22, ","
Letter Folding Machine, $1018.86,"
"
nan, nan, ","
nan, nan, "
"
NO, Forklift Maintenance, 24101603, ","
NO, Forklift Maintenance, 24101603
2"
"
IT Goods, ","
IT Goods, "
"
1743406.0, ","
1743406.0, "
"
nan, ","
nan, "
"
06/09/2015, VERTICAL METAL SOAP DISPENSER #T9C640744, nan, ","
06/09/2015, VERTICAL METAL SOAP DISPENSER #T9C640744, nan, "
"
1758045.0, chicken breast, Chicken, minimally processed without additions, ","
1749074.0, chicken breast, Minimally processed meat and poultry products,  "
"
$1064.00, ","
$1064.00, "
"
30121601, ","
30121601, "
"
95852, $295.36, 55101500.0, Printed media, ","
95852, $295.36, 55101500.0, Printed media, "
"
nan, Engine components and accessories, ","
nan, Engine components and accessories, "
"
NON-IT Goods, $1124.40, ","
NON-IT Goods, $1429.40, "
"
Emergency Purchase, 1.0, ","
Emergency Purchase, 1.0, "
"
06/12/2014, ","
06/21/2014, "
"
Formal Competitive, nan, Digger Derrick w/ a Service and Utility Body, 25101500.0, Commercial and Military and Private Vehicles and their Accessories and Components, ","
Informal Competitive, nan, Digger Derrick w/ a Service and Utility Body, 25101500.0, Commercial and Military and Private Vehicles and their Accessories and Components"
"
nan, 1350650A52, 91731
(34.077349, -118.040493), ","
nan, 13482106, 91731
(34.077349, -118.040493), 

"
"
2014-2015, nan, ","
2014-2015, nan, "
"
2012-2013, 95814, $470.40, Computer Equipment and Accessories, 43000000.0, ","
2012-2013, 95814, $470.40, Computer Equipment and Accessories, 43000000.0, "
"
4500223433, 3B INDUSTRIES INC, 44121500.0, ","
4500222892, 3B INDUSTRIES INC, 44121500.0, "
"
04/11/2013, HP 3PAR SAN INSTALLATOIN, $11786.40, 81000000.0, ","
04/03/2013, HP 3PAR SAN INSTALLATION, $11786.40, 81000000.0, "
"
06/20/2014, NON-IT Goods, 1.0, ","
04/08/2014, NON-IT Goods, 1.0, "
"
S4250048, 95062
(36.97315, -121.990303), ","
S4802023, 95062
(36.97315, -121.990303), "
"
TAGG Industries, Inc., CA-DVBE CA-SB CA-SBE CDVBE, ","
TAGG Industries, Inc., CA-DVBE CA-SB CA-SBE CDVBE, "
"
2012-2013, nan, 3170716, Anchor Supply Inc, $6058.48, 31000000.0, ","
2012-2013, nan, 3171051, Anchor Supply Inc, $6058.48, 31000000.0, "
"
42170000.0, ","
42170000.0, "
"
SN450298, VARIOUS MEDICAL SUPPLIES, 41000000.0, ","
HD450065, BLOOD CLEANUP KITS, 41000000.0, 

### "
"
","
"
"
nan, Emergency Purchase, Hired equipment to cover behind going fire CACNR 000048 O-4, 76000000.0, ","
nan, Emergency Purchase, Hired equipment on going fire, 76000000.0, 

### Response:
nan, Emergency"
"
2012-2013, Services are specifically exempt by statute, $9546.00, ","
2012-2013, Services are specifically exempt by statute, $9546.00, "
"
nan, 1.0, 81110000.0, 81000000.0, ","
nan, 1.0, 81110000.0, 81000000.0, "
"
92587
(33.692651, -117.248892), ","
92587
(33.692651, -117.248892), "
"
2013-2014, NON-IT Goods, Highway Patrol, California, Printer and photocopier and facsimile accessories, 44100000.0, ","
2013-2014, IT Goods, Highway Patrol, California, Printer and photocopier and facsimile accessories, 44100000.0, 

##"
"
10/08/2014, IT Goods, Forestry and Fire Protection, Department of, nan, 6.0, ","
10/09/2014, IT Goods, Forestry and Fire Protection, Department of, nan, 2.0, "
"
1-13-89-78, 56.0, 50192703.0, 50192700.0, Prepared and preserved foods, 50000000.0, ","
1-12-89-85, 2050.0, 50192703.0, 50192700.0, Prepared and preserved foods, 50000000.0"
"
CA-MB CA-SB, nan, ","
CA-MB CA-SB, nan, "
